,Data,Hospitalizowane,województwo
0,2020-03-05,5,dolnośląskie
1,2020-03-06,28,dolnośląskie
2,2020-03-07,42,dolnośląskie
3,2020-03-08,50,dolnośląskie
4,2020-03-09,48,dolnośląskie
5,2020-03-10,42,dolnośląskie
6,2020-03-11,46,dolnośląskie
7,2020-03-12,49,dolnośląskie
8,2020-03-13,100,dolnośląskie
9,2020-03-14,59,dolnośląskie
10,2020-03-15,81,dolnośląskie
11,2020-03-16,63,dolnośląskie
12,2020-03-17,79,dolnośląskie
13,2020-03-18,72,dolnośląskie
14,2020-03-19,79,dolnośląskie
15,2020-03-20,84,dolnośląskie
16,2020-03-21,75,dolnośląskie
17,2020-03-22,100,dolnośląskie
18,2020-03-23,87,dolnośląskie
19,2020-03-24,226,dolnośląskie
20,2020-03-25,248,dolnośląskie
21,2020-03-26,197,dolnośląskie
22,2020-03-27,217,dolnośląskie
23,2020-03-28,179,dolnośląskie
24,2020-03-29,274,dolnośląskie
25,2020-03-30,265,dolnośląskie
26,2020-03-31,229,dolnośląskie
27,2020-04-02,231,dolnośląskie
28,2020-04-03,270,dolnośląskie
29,2020-04-04,343,dolnośląskie
30,2020-04-05,275,dolnośląskie
31,2020-04-06,270,dolnośląskie
32,2020-04-07,236,dolnośląskie
33,2020-04-08,236,dolnośląskie
34,2020-04-09,258,dolnośląskie
35,2020-04-10,255,dolnośląskie
36,2020-04-11,271,dolnośląskie
37,2020-04-12,283,dolnośląskie
38,2020-04-13,265,dolnośląskie
39,2020-04-14,278,dolnośląskie
40,2020-04-15,284,dolnośląskie
41,2020-04-16,270,dolnośląskie
42,2020-04-17,296,dolnośląskie
43,2020-04-18,291,dolnośląskie
44,2020-04-19,223,dolnośląskie
45,2020-04-20,278,dolnośląskie
46,2020-04-21,296,dolnośląskie
47,2020-04-22,301,dolnośląskie
48,2020-04-23,313,dolnośląskie
49,2020-04-24,294,dolnośląskie
50,2020-04-25,302,dolnośląskie
51,2020-04-26,301,dolnośląskie
52,2020-04-27,319,dolnośląskie
53,2020-04-28,329,dolnośląskie
54,2020-04-29,337,dolnośląskie
55,2020-04-30,339,dolnośląskie
56,2020-05-01,298,dolnośląskie
57,2020-05-02,359,dolnośląskie
58,2020-05-03,356,dolnośląskie
59,2020-05-04,366,dolnośląskie
60,2020-05-05,358,dolnośląskie
61,2020-05-06,339,dolnośląskie
62,2020-05-07,347,dolnośląskie
63,2020-05-08,334,dolnośląskie
64,2020-05-09,331,dolnośląskie
65,2020-05-10,306,dolnośląskie
66,2020-05-11,347,dolnośląskie
67,2020-05-12,318,dolnośląskie
68,2020-05-13,326,dolnośląskie
69,2020-05-14,331,dolnośląskie
70,2020-05-15,323,dolnośląskie
71,2020-05-16,311,dolnośląskie
72,2020-05-17,291,dolnośląskie
73,2020-05-18,312,dolnośląskie
74,2020-05-19,307,dolnośląskie
75,2020-05-20,305,dolnośląskie
76,2020-05-21,312,dolnośląskie
77,2020-05-22,335,dolnośląskie
78,2020-05-23,333,dolnośląskie
79,2020-05-24,334,dolnośląskie
80,2020-05-25,377,dolnośląskie
81,2020-05-26,382,dolnośląskie
82,2020-05-27,362,dolnośląskie
83,2020-05-28,345,dolnośląskie
84,2020-05-29,339,dolnośląskie
85,2020-05-30,344,dolnośląskie
86,2020-05-31,336,dolnośląskie
87,2020-06-01,333,dolnośląskie
88,2020-06-02,332,dolnośląskie
89,2020-06-03,323,dolnośląskie
90,2020-06-04,303,dolnośląskie
91,2020-06-05,297,dolnośląskie
92,2020-06-06,269,dolnośląskie
93,2020-06-07,261,dolnośląskie
94,2020-06-08,288,dolnośląskie
95,2020-06-09,288,dolnośląskie
96,2020-06-10,266,dolnośląskie
97,2020-06-11,266,dolnośląskie
98,2020-06-12,266,dolnośląskie
99,2020-06-13,256,dolnośląskie
100,2020-06-14,227,dolnośląskie
101,2020-06-15,252,dolnośląskie
102,2020-06-16,248,dolnośląskie
103,2020-06-17,228,dolnośląskie
104,2020-06-18,230,dolnośląskie
105,2020-06-19,220,dolnośląskie
106,2020-06-20,220,dolnośląskie
107,2020-06-21,219,dolnośląskie
108,2020-06-22,219,dolnośląskie
109,2020-06-23,213,dolnośląskie
110,2020-06-24,209,dolnośląskie
111,2020-06-25,210,dolnośląskie
112,2020-06-26,203,dolnośląskie
113,2020-06-27,198,dolnośląskie
114,2020-06-28,183,dolnośląskie
115,2020-06-29,183,dolnośląskie
116,2020-06-30,184,dolnośląskie
117,2020-07-01,190,dolnośląskie
118,2020-07-02,191,dolnośląskie
119,2020-07-03,188,dolnośląskie
120,2020-07-04,152,dolnośląskie
121,2020-07-05,147,dolnośląskie
122,2020-07-06,149,dolnośląskie
123,2020-07-07,150,dolnośląskie
124,2020-07-08,149,dolnośląskie
125,2020-07-09,140,dolnośląskie
126,2020-07-10,132,dolnośląskie
127,2020-07-11,135,dolnośląskie
128,2020-07-12,136,dolnośląskie
129,2020-07-13,131,dolnośląskie
130,2020-07-14,132,dolnośląskie
131,2020-07-16,108,dolnośląskie
132,2020-07-18,109,dolnośląskie
133,2020-07-19,112,dolnośląskie
134,2020-07-21,113,dolnośląskie
135,2020-07-23,131,dolnośląskie
136,2020-07-25,132,dolnośląskie
137,2020-07-28,141,dolnośląskie
138,2020-07-30,77,dolnośląskie
139,2020-08-01,72,dolnośląskie
140,2020-03-09,6,kujawsko-pomorskie
141,2020-03-10,8,kujawsko-pomorskie
142,2020-03-11,13,kujawsko-pomorskie
143,2020-03-13,16,kujawsko-pomorskie
144,2020-03-14,19,kujawsko-pomorskie
145,2020-03-16,31,kujawsko-pomorskie
146,2020-03-17,32,kujawsko-pomorskie
147,2020-03-18,37,kujawsko-pomorskie
148,2020-03-19,35,kujawsko-pomorskie
149,2020-03-20,37,kujawsko-pomorskie
150,2020-03-21,39,kujawsko-pomorskie
151,2020-03-22,38,kujawsko-pomorskie
152,2020-03-23,38,kujawsko-pomorskie
153,2020-03-24,38,kujawsko-pomorskie
154,2020-03-25,41,kujawsko-pomorskie
155,2020-03-26,59,kujawsko-pomorskie
156,2020-03-27,67,kujawsko-pomorskie
157,2020-03-28,74,kujawsko-pomorskie
158,2020-03-29,79,kujawsko-pomorskie
159,2020-03-30,73,kujawsko-pomorskie
160,2020-03-31,75,kujawsko-pomorskie
161,2020-04-03,156,kujawsko-pomorskie
162,2020-04-04,162,kujawsko-pomorskie
163,2020-04-05,176,kujawsko-pomorskie
164,2020-04-06,177,kujawsko-pomorskie
165,2020-04-07,207,kujawsko-pomorskie
166,2020-04-08,227,kujawsko-pomorskie
167,2020-04-09,201,kujawsko-pomorskie
168,2020-04-10,190,kujawsko-pomorskie
169,2020-04-14,260,kujawsko-pomorskie
170,2020-04-15,182,kujawsko-pomorskie
171,2020-04-16,165,kujawsko-pomorskie
172,2020-04-17,168,kujawsko-pomorskie
173,2020-04-18,162,kujawsko-pomorskie
174,2020-04-19,163,kujawsko-pomorskie
175,2020-04-20,146,kujawsko-pomorskie
176,2020-04-21,167,kujawsko-pomorskie
177,2020-04-22,163,kujawsko-pomorskie
178,2020-04-23,145,kujawsko-pomorskie
179,2020-04-24,149,kujawsko-pomorskie
180,2020-04-25,153,kujawsko-pomorskie
181,2020-04-26,154,kujawsko-pomorskie
182,2020-04-27,161,kujawsko-pomorskie
183,2020-04-28,159,kujawsko-pomorskie
184,2020-04-29,178,kujawsko-pomorskie
185,2020-04-30,182,kujawsko-pomorskie
186,2020-05-01,178,kujawsko-pomorskie
187,2020-05-02,182,kujawsko-pomorskie
188,2020-05-03,173,kujawsko-pomorskie
189,2020-05-04,161,kujawsko-pomorskie
190,2020-05-05,165,kujawsko-pomorskie
191,2020-05-06,160,kujawsko-pomorskie
192,2020-05-07,157,kujawsko-pomorskie
193,2020-05-08,169,kujawsko-pomorskie
194,2020-05-09,187,kujawsko-pomorskie
195,2020-05-10,153,kujawsko-pomorskie
196,2020-05-11,155,kujawsko-pomorskie
197,2020-05-12,145,kujawsko-pomorskie
198,2020-05-13,137,kujawsko-pomorskie
