,Data,Potwierdzone,aktywne,zgony,wyleczeni,województwo
0,2020-03-07,1,0,0,0,dolnośląskie
1,2020-03-08,1,0,0,0,dolnośląskie
2,2020-03-09,3,0,0,0,dolnośląskie
3,2020-03-10,4,0,0,0,dolnośląskie
4,2020-03-11,4,0,0,0,dolnośląskie
5,2020-03-12,7,0,0,0,dolnośląskie
6,2020-03-13,8,0,1,0,dolnośląskie
7,2020-03-14,13,0,1,0,dolnośląskie
8,2020-03-15,14,0,1,0,dolnośląskie
9,2020-03-16,24,0,1,0,dolnośląskie
10,2020-03-17,33,0,2,0,dolnośląskie
11,2020-03-18,40,0,2,0,dolnośląskie
12,2020-03-19,53,0,2,0,dolnośląskie
13,2020-03-20,59,0,2,0,dolnośląskie
14,2020-03-21,66,0,2,0,dolnośląskie
15,2020-03-22,79,0,2,0,dolnośląskie
16,2020-03-23,97,0,2,0,dolnośląskie
17,2020-03-24,117,0,2,0,dolnośląskie
18,2020-03-25,150,0,4,0,dolnośląskie
19,2020-03-26,165,0,4,0,dolnośląskie
20,2020-03-27,189,0,4,0,dolnośląskie
21,2020-03-28,199,0,4,0,dolnośląskie
22,2020-03-29,234,0,4,0,dolnośląskie
23,2020-03-30,258,0,4,0,dolnośląskie
24,2020-03-31,274,0,4,0,dolnośląskie
25,2020-04-01,298,0,4,0,dolnośląskie
26,2020-04-02,338,0,6,0,dolnośląskie
27,2020-04-03,400,0,6,0,dolnośląskie
28,2020-04-04,407,0,6,0,dolnośląskie
29,2020-04-05,468,0,10,0,dolnośląskie
30,2020-04-06,488,0,13,0,dolnośląskie
31,2020-04-07,527,0,13,0,dolnośląskie
32,2020-04-08,539,523,15,1,dolnośląskie
33,2020-04-09,568,546,18,4,dolnośląskie
34,2020-04-10,637,613,20,4,dolnośląskie
35,2020-04-11,660,623,22,15,dolnośląskie
36,2020-04-12,697,659,23,15,dolnośląskie
37,2020-04-13,709,670,24,15,dolnośląskie
38,2020-04-14,723,669,25,29,dolnośląskie
39,2020-04-15,764,710,25,29,dolnośląskie
40,2020-04-16,819,753,28,38,dolnośląskie
41,2020-04-17,893,823,30,40,dolnośląskie
42,2020-04-18,949,879,30,40,dolnośląskie
43,2020-04-19,1044,967,30,47,dolnośląskie
44,2020-04-20,1077,983,33,61,dolnośląskie
45,2020-04-21,1118,985,33,100,dolnośląskie
46,2020-04-22,1143,983,36,124,dolnośląskie
47,2020-04-23,1212,1045,36,131,dolnośląskie
48,2020-04-24,1235,1066,37,132,dolnośląskie
49,2020-04-25,1275,1103,40,132,dolnośląskie
50,2020-04-26,1338,1160,41,137,dolnośląskie
51,2020-04-27,1412,1225,41,146,dolnośląskie
52,2020-04-28,1461,1247,44,170,dolnośląskie
53,2020-04-29,1520,1275,47,198,dolnośląskie
54,2020-04-30,1563,1292,48,223,dolnośląskie
55,2020-05-01,1580,1271,48,261,dolnośląskie
56,2020-05-02,1620,1296,49,275,dolnośląskie
57,2020-05-03,1645,1303,52,290,dolnośląskie
58,2020-05-04,1723,1304,52,367,dolnośląskie
59,2020-05-05,1769,1307,57,405,dolnośląskie
60,2020-05-06,1789,1294,57,438,dolnośląskie
61,2020-05-07,1825,1293,59,473,dolnośląskie
62,2020-05-08,1870,1318,66,486,dolnośląskie
63,2020-05-09,1903,1320,67,516,dolnośląskie
64,2020-05-10,2002,1388,67,547,dolnośląskie
65,2020-05-11,2024,1376,72,576,dolnośląskie
66,2020-05-12,2056,1303,78,675,dolnośląskie
