Data,Cumultative,daily,percentage growth,dolnośląskie,kujawsko-pomorskie,lubelskie,lubuskie,łódzkie,małopolskie,mazowieckie,opolskie,podkarpackie,podlaskie,pomorskie,śląskie,świętokrzyskie,warmińsko-mazurskie,wielkopolskie,zachodniopomorskie,source
17.03,238,61,34,11,8,4,–,11,3,3,2,–,1,6,6,–,2,2,2,[93]
18.03,287,49,21,2,–,–,1,–,1,28,1,3,1,1,6,1,4,–,–,[142]
19.03,355,68,24,13,3,3,6,6,1,16,1,3,-1,–,12,1,1,2,1,[98]
20.03,425,70,20,5,3,3,–,9,7,25,–,2,2,1,4,1,5,3,–,[99]
21.03,536,111,26,8,4,3,–,34,2,20,–,6,2,4,10,1,3,13,1,[93]
22.03,634,98,18,13,–,8,2,15,8,20,4,4,1,3,10,–,2,6,2,[102]
23.03,749,115,18,22,3,9,5,5,9,28,5,1,1,4,11,1,3,4,4,[103]
24.03,901,152,20,33,1,6,5,18,16,37,2,7,–,1,10,–,4,1,11,[105]
25.03,1051,150,17,16,5,6,2,15,7,39,2,6,3,–,20,6,4,15,4,[106]
26.03,1221,170,16,15,4,14,7,14,13,40,3,10,3,6,20,1,6,12,2,[93]
27.03,1389,168,14,28,2,4,1,10,24,27,2,8,4,4,14,7,5,21,7,[109]
28.03,1638,249,18,21,4,9,2,14,19,103,3,10,9,4,24,5,2,9,11,[110]
29.03,1862,224,14,20,10,18,–,8,38,40,12,5,2,9,30,7,10,9,6,[143]
30.03,2055,193,10,24,25,9,3,12,24,26,11,4,8,3,14,3,1,24,2,[112]
31.03,2311,256,12,16,4,18,6,6,18,57,16,15,–,6,55,12,1,16,10,[113]
1.04,2554,243,11,52,8,1,5,13,17,68,5,9,11,6,8,6,3,21,10,[114]
2.04,2946,392,15,12,73,18,1,15,21,142,3,7,12,10,29,7,6,26,10,[115]
3.04,3383,437,15,62,42,7,2,12,32,54,12,14,15,12,130,17,8,18,–,[111]
4.04,3627,244,7,7,25,7,6,11,46,–,–,11,8,22,65,2,3,20,11,[117]
5.04,4102,475,13,61,17,9,3,67,19,159,4,13,9,13,41,12,2,40,6,[118]
6.04,4413,311,8,20,4,7,3,14,22,98,7,7,18,8,25,10,3,54,11,[119]
